,Name,2020 Count,2019 Count,2018 Count,2017 Count,2016 Count,2015 Count,2014 Count,2013 Count,2012 Count,2011 Count,2010 Count,2009 Count,2008 Count,2007 Count,2006 Count,2005 Count,2004 Count,2003 Count,2002 Count,2001 Count,2000 Count
12224,RAJBIR,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4
12225,RAJDEEP,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,4.0,0.0,0.0,4.0,7.0,0.0,0.0,3.0,5.0,8
12232,RAJIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,5.0,5
12236,RAJUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,4
12237,RAJVEER,18.0,21.0,21.0,16.0,25.0,24.0,25.0,30.0,26.0,29.0,23.0,26.0,19.0,15.0,21.0,33.0,22.0,18.0,19.0,13.0,12
12239,RAJVIR,0.0,5.0,4.0,0.0,0.0,13.0,8.0,8.0,5.0,10.0,6.0,10.0,8.0,3.0,4.0,12.0,10.0,13.0,11.0,11.0,5
12242,RAKAN,4.0,8.0,9.0,9.0,11.0,5.0,8.0,5.0,5.0,5.0,9.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,:
12244,RAKEEM,5.0,4.0,8.0,11.0,7.0,5.0,5.0,3.0,0.0,4.0,6.0,3.0,5.0,6.0,3.0,7.0,7.0,7.0,4.0,12.0,14
12246,RAKIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,7
12248,RAKIM,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,5.0,4.0,5.0,0.0,3
12249,RAKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,:
12253,RALF,22.0,17.0,19.0,16.0,12.0,18.0,9.0,14.0,12.0,9.0,12.0,18.0,13.0,8.0,8.0,10.0,11.0,8.0,7.0,7.0,3
12254,RALFIE,4.0,7.0,10.0,10.0,4.0,5.0,4.0,0.0,4.0,5.0,9.0,3.0,11.0,5.0,8.0,9.0,0.0,0.0,0.0,0.0,:
12255,RALFS,5.0,4.0,3.0,11.0,5.0,13.0,8.0,8.0,12.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12256,RALPH,615.0,748.0,719.0,669.0,587.0,529.0,430.0,359.0,287.0,212.0,181.0,144.0,132.0,121.0,107.0,97.0,72.0,67.0,44.0,53.0,40
12258,RALPHI,17.0,7.0,16.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
12259,RALPHIE,178.0,193.0,198.0,174.0,100.0,93.0,61.0,63.0,42.0,33.0,27.0,22.0,15.0,12.0,12.0,10.0,9.0,0.0,3.0,0.0,:
12261,RALPHY,63.0,69.0,69.0,81.0,46.0,48.0,42.0,43.0,33.0,33.0,15.0,3.0,0.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,:
12263,RAM,4.0,8.0,5.0,0.0,8.0,4.0,11.0,7.0,6.0,9.0,9.0,7.0,7.0,3.0,8.0,10.0,9.0,9.0,0.0,0.0,3
12265,RAMADAN,3.0,7.0,3.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,6.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3
12269,RAMAN,9.0,3.0,5.0,7.0,13.0,10.0,11.0,7.0,11.0,10.0,6.0,9.0,4.0,12.0,8.0,4.0,8.0,5.0,3.0,8.0,8
12274,RAMAZAN,0.0,3.0,3.0,5.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,:
12275,RAMEEZ,6.0,0.0,8.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,6.0,7.0,10.0,0.0,3.0,7
12276,RAMEL,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,6.0,3.0,3.0,0.0,3.0,5.0,5.0,3.0,0.0,:
12282,RAMI,25.0,29.0,14.0,16.0,21.0,11.0,18.0,12.0,13.0,12.0,16.0,13.0,10.0,16.0,12.0,15.0,20.0,12.0,4.0,13.0,6
12285,RAMIN,0.0,10.0,3.0,4.0,6.0,3.0,10.0,3.0,11.0,4.0,7.0,12.0,3.0,0.0,6.0,4.0,0.0,0.0,4.0,0.0,:
