,Name,2020 Rank,2019 Rank,2018 Rank,2017 Rank,2016 Rank,2015 Rank,2014 Rank,2013 Rank,2012 Rank,2011 Rank,2010 Rank,2009 Rank,2008 Rank,2007 Rank,2006 Rank,2005 Rank,2004 Rank,2003 Rank,2002 Rank,2001 Rank,2000 Rank
13745,SHAHID,2960.0,4702.0,3959.0,3449.0,3079.0,3004.0,2964.0,2216.0,2458.0,3300.0,2199.0,1358.0,1706.0,2741.0,1347.0,1377.0,2070.0,1248.0,1253.0,1135.0,1552.0
13749,SHAHIN,3848.0,4813.0,4813.0,4813.0,4810.0,4813.0,4813.0,4813.0,3987.0,4813.0,4813.0,4813.0,4813.0,3095.0,4813.0,4813.0,3651.0,2470.0,3225.0,4813.0,4813.0
13751,SHAHIR,4813.0,3937.0,4749.0,4813.0,4813.0,4747.0,2964.0,3315.0,2721.0,4647.0,3865.0,4527.0,4813.0,4333.0,4813.0,4813.0,3009.0,4813.0,3225.0,4813.0,3036.0
13753,SHAHMEER,3334.0,2728.0,2693.0,3449.0,3478.0,3373.0,3895.0,3315.0,4805.0,4813.0,2629.0,3227.0,4432.0,3589.0,2870.0,2754.0,4813.0,2470.0,4813.0,4813.0,4813.0
13754,SHAHMIR,4813.0,4813.0,3412.0,4812.0,4813.0,4813.0,4813.0,4813.0,3987.0,4813.0,4813.0,4527.0,4813.0,4813.0,4813.0,4813.0,4813.0,3467.0,4813.0,4813.0,2142.0
13759,SHAHRIAR,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4527.0,4813.0,4333.0,4813.0,2174.0,4813.0,2857.0,4813.0,3134.0,4813.0
13760,SHAHRIYAR,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4333.0,2538.0,3849.0,3651.0,3467.0,2636.0,4813.0,2142.0
13762,SHAHRUKH,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4678.0,4813.0,4432.0,4813.0,4813.0,4813.0,4813.0,3467.0,2636.0,2587.0,4813.0
13766,SHAHWAIZ,4608.0,4702.0,3412.0,3996.0,4810.0,4747.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3158.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13769,SHAHZAD,4813.0,4702.0,4813.0,3449.0,4813.0,4747.0,2964.0,4685.0,3987.0,3830.0,4678.0,4813.0,4432.0,4813.0,4813.0,3849.0,2578.0,3467.0,4813.0,1467.0,2501.0
13771,SHAHZAIB,3848.0,2728.0,2112.0,2734.0,2335.0,1586.0,2079.0,1183.0,1756.0,1600.0,1911.0,1425.0,1828.0,2023.0,1643.0,1095.0,875.0,1132.0,1799.0,1202.0,3036.0
13772,SHAHZAIN,723.0,1316.0,2445.0,3449.0,3079.0,1786.0,2964.0,2216.0,2270.0,1600.0,4678.0,3744.0,4813.0,4333.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13773,SHAHZEB,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4632.0,4685.0,4805.0,4647.0,3865.0,3744.0,3687.0,2741.0,4052.0,1456.0,1596.0,1771.0,3225.0,4813.0,4813.0
13774,SHAI,1723.0,2266.0,1610.0,2324.0,2027.0,1673.0,1630.0,1147.0,1119.0,1688.0,1171.0,1568.0,1242.0,1252.0,1401.0,1456.0,1498.0,1188.0,1411.0,1595.0,1241.0
13779,SHAIKH,4813.0,3013.0,4813.0,3449.0,4810.0,4747.0,4813.0,3822.0,4813.0,3830.0,3865.0,4527.0,4432.0,3589.0,4813.0,4813.0,3651.0,2189.0,1799.0,4813.0,2501.0
13781,SHAILEN,4813.0,4813.0,4813.0,4813.0,4810.0,2319.0,3362.0,4685.0,4813.0,3830.0,4813.0,4527.0,4432.0,4813.0,4813.0,2754.0,4813.0,3467.0,4813.0,3134.0,3036.0
13787,SHAKAI,4813.0,4702.0,3959.0,4812.0,4810.0,3004.0,2248.0,3822.0,3416.0,2892.0,1911.0,3744.0,4432.0,4813.0,3385.0,4813.0,4813.0,2857.0,3225.0,4813.0,2501.0
13791,SHAKEEL,3848.0,2104.0,2259.0,2052.0,2335.0,2319.0,2248.0,1706.0,1430.0,1342.0,1407.0,1568.0,1294.0,1079.0,1892.0,1014.0,875.0,945.0,1077.0,842.0,1002.0
13792,SHAKEEM,4813.0,4702.0,4749.0,4813.0,4810.0,4813.0,4813.0,4813.0,4813.0,4647.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3009.0,2857.0,2636.0,2587.0,4813.0
13794,SHAKIB,4813.0,4813.0,4813.0,4813.0,4813.0,3908.0,4632.0,4813.0,3416.0,3830.0,2629.0,4527.0,4813.0,3589.0,2538.0,3849.0,1732.0,2470.0,2005.0,4813.0,2501.0
13795,SHAKIEL,4813.0,4813.0,4813.0,4813.0,4813.0,4747.0,4813.0,4813.0,4813.0,4813.0,4813.0,3227.0,4813.0,2741.0,4052.0,3849.0,3009.0,2857.0,2636.0,4813.0,2501.0
13796,SHAKIL,4608.0,2104.0,4749.0,3996.0,3478.0,3908.0,4813.0,4685.0,3039.0,2390.0,2400.0,2544.0,2507.0,3589.0,2870.0,1851.0,2070.0,1326.0,869.0,1379.0,953.0
13797,SHAKIR,2682.0,3411.0,3412.0,3449.0,4023.0,2707.0,2690.0,2954.0,1852.0,3830.0,3332.0,2318.0,2507.0,1666.0,2282.0,1991.0,1732.0,1326.0,1519.0,983.0,1330.0
13798,SHAKUR,2960.0,4702.0,4749.0,3040.0,3478.0,2707.0,4632.0,2660.0,3416.0,2892.0,2629.0,2544.0,1953.0,2435.0,2870.0,1534.0,1596.0,1513.0,3225.0,1467.0,1241.0
13801,SHALOM,1492.0,3013.0,4749.0,4812.0,1903.0,2319.0,1486.0,2660.0,1589.0,1788.0,2199.0,2126.0,2775.0,2741.0,2087.0,1534.0,3009.0,1771.0,4813.0,2220.0,2501.0
13804,SHAMAR,4813.0,4813.0,4813.0,3040.0,3478.0,3373.0,4632.0,3315.0,4805.0,4647.0,2629.0,4813.0,3158.0,1578.0,1643.0,1991.0,3009.0,1771.0,1519.0,1949.0,3036.0
13805,SHAMARI,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4647.0,4678.0,2544.0,4813.0,2435.0,2538.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
13806,SHAMAS,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,2892.0,4678.0,2544.0,3158.0,2741.0,3385.0,2418.0,1878.0,3467.0,2636.0,2587.0,1703.0
13811,SHAMIL,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,3830.0,4813.0,4813.0,4813.0,4333.0,4052.0,3208.0,3009.0,4813.0,2005.0,4813.0,4813.0
